United States,Romania,1
United States,Ireland,264
United States,India,69
United States,Singapore,25
United States,Grenada,54
United States,Marshall Islands,44
United States,Sint Maarten,53
United States,Afghanistan,2
United States,Russia,156
United States,Federated States of Micronesia,48
United States,Netherlands,570
Luxembourg,United States,91
United States,Senegal,46
United States,Angola,18
Switzerland,United States,315
United States,Anguilla,20
United States,Ecuador,345
United States,Cyprus,1
United States,Bosnia and Herzegovina,1
United States,Portugal,104
United States,Costa Rica,501
United States,Guatemala,333
United States,Suriname,13
United States,Cape Verde,18
United States,Jamaica,757
United States,Malaysia,3
United States,Morocco,16
United States,Palau,30
United States,Samoa,28
United States,Algeria,1
United States,Venezuela,341
United States,Finland,20
United States,Chile,176
Morocco,United States,16
United States,Greece,61
United States,The Bahamas,959
United States,Hong Kong,293
United States,China,505
United States,Vietnam,1
Sweden,United States,65
United States,Kuwait,25
United States,Dominican Republic,1150
United States,Egypt,25
United States,United States,348113
United States,Luxembourg,90
United States,Poland,61
United States,Saint Barthelemy,29
United States,Turkey,87
United States,Estonia,1
United States,Azerbaijan,1
United States,South Korea,621
United States,El Salvador,464
United States,Hungary,15
United States,Serbia,1
United States,Panama,363
United States,Ethiopia,12
United States,Aruba,349
United States,Thailand,13
United States,Netherlands Antilles,289
United States,Turks and Caicos Islands,147
United States,Pakistan,15
United States,Honduras,393
United States,Liberia,1
United States,Malta,2
United States,Saint Vincent and the Grenadines,16
United States,Guadeloupe,33
United States,Ukraine,17
United States,France,776
United States,Norway,36
United States,Kiribati,18
India,United States,66
United States,Germany,1406
United States,New Zealand,71
United States,Mexico,6220
United States,Sweden,73
United States,Gabon,1
United States,Martinique,20
United States,United Arab Emirates,156
United States,Bulgaria,2
China,United States,448
United States,Philippines,116
United States,Nicaragua,181
United States,Belgium,355
United States,Iceland,129
United States,Argentina,159
United States,Austria,34
United States,Nigeria,18
United States,"Bonaire, Sint Eustatius, and Saba",16
United States,Israel,122
United States,Bahrain,1
United States,Saint Lucia,121
United States,British Virgin Islands,47
Curacao,United States,20
Georgia,United States,2
United States,Guyana,20
United States,Denmark,107
United States,Papua New Guinea,1
United States,Saudi Arabia,54
United States,Curacao,14
United States,Taiwan,252
United States,South Africa,15
United States,Greenland,2
United States,Spain,442
United States,Italy,433
United States,Switzerland,334
United States,Japan,1307
United States,Brazil,578
United States,Peru,284
United States,United Kingdom,1503
United States,Belize,118
United States,Ghana,28
United States,Indonesia,1
United States,Fiji,51
United States,Canada,8305
United States,French Polynesia,38
United States,Antigua and Barbuda,121
United States,Burkina Faso,1
United States,Latvia,13
United States,Dominica,32
United States,Czech Republic,22
United States,Australia,216
United States,Cook Islands,12
Palau,United States,31
United States,Cameroon,1
United States,Kyrgyzstan,12
United States,Uruguay,24
United States,Bermuda,180
United States,Cuba,235
United States,Colombia,832
United States,Qatar,40
United States,Barbados,119
United States,Jordan,51
United States,Cayman Islands,251
United States,Trinidad and Tobago,200
United States,Bolivia,39
United States,Slovakia,1
United States,Saint Kitts and Nevis,127
United States,French Guiana,1
United States,Haiti,226
United States,Uganda,1
